station_name,measurement_timestamp,solar_radiation,radiation_danger,hour_e,day_e,month_e,year_e,Sensor_Latitude,Sensor_Longitude
Oak Street Weather Station,2015-12-28 20:00:00,3,Safe,20,28,12,2015,41.901997,-87.622817
Oak Street Weather Station,2015-12-27 22:00:00,2,Safe,22,27,12,2015,41.901997,-87.622817
Oak Street Weather Station,2015-12-27 18:00:00,2,Safe,18,27,12,2015,41.901997,-87.622817
Oak Street Weather Station,2015-12-27 02:00:00,2,Safe,2,27,12,2015,41.901997,-87.622817
Oak Street Weather Station,2015-12-26 20:00:00,2,Safe,20,26,12,2015,41.901997,-87.622817
Oak Street Weather Station,2015-12-26 18:00:00,2,Safe,18,26,12,2015,41.901997,-87.622817
Oak Street Weather Station,2015-12-25 18:00:00,2,Safe,18,25,12,2015,41.901997,-87.622817
Oak Street Weather Station,2015-12-25 12:00:00,43,Safe,12,25,12,2015,41.901997,-87.622817
Oak Street Weather Station,2015-12-25 06:00:00,2,Safe,6,25,12,2015,41.901997,-87.622817
Oak Street Weather Station,2015-12-24 23:00:00,1,Safe,23,24,12,2015,41.901997,-87.622817
Oak Street Weather Station,2015-12-23 17:00:00,0,Safe,17,23,12,2015,41.901997,-87.622817
Oak Street Weather Station,2015-12-23 07:00:00,1,Safe,7,23,12,2015,41.901997,-87.622817
Oak Street Weather Station,2015-12-23 05:00:00,1,Safe,5,23,12,2015,41.901997,-87.622817
Oak Street Weather Station,2015-12-23 01:00:00,2,Safe,1,23,12,2015,41.901997,-87.622817
Oak Street Weather Station,2015-12-22 23:00:00,2,Safe,23,22,12,2015,41.901997,-87.622817
Oak Street Weather Station,2015-12-22 14:00:00,77,Safe,14,22,12,2015,41.901997,-87.622817
Oak Street Weather Station,2015-12-22 03:00:00,2,Safe,3,22,12,2015,41.901997,-87.622817
Oak Street Weather Station,2015-12-22 02:00:00,2,Safe,2,22,12,2015,41.901997,-87.622817
Oak Street Weather Station,2015-12-21 18:00:00,1,Safe,18,21,12,2015,41.901997,-87.622817
Oak Street Weather Station,2015-12-19 21:00:00,3,Safe,21,19,12,2015,41.901997,-87.622817
Oak Street Weather Station,2015-12-18 06:00:00,3,Safe,6,18,12,2015,41.901997,-87.622817
Oak Street Weather Station,2015-12-17 23:00:00,3,Safe,23,17,12,2015,41.901997,-87.622817
Oak Street Weather Station,2015-12-17 18:00:00,3,Safe,18,17,12,2015,41.901997,-87.622817
Oak Street Weather Station,2016-12-31 20:00:00,2,Safe,20,31,12,2016,41.901997,-87.622817
Oak Street Weather Station,2016-12-31 18:00:00,2,Safe,18,31,12,2016,41.901997,-87.622817
Foster Weather Station,2016-12-31 14:00:00,0,Safe,14,31,12,2016,41.976464,-87.647525
Oak Street Weather Station,2016-12-31 14:00:00,86,Safe,14,31,12,2016,41.901997,-87.622817
63rd Street Weather Station,2016-12-31 11:00:00,212,Moderately safe,11,31,12,2016,41.780992,-87.572619
63rd Street Weather Station,2016-12-31 10:00:00,349,Moderately safe,10,31,12,2016,41.780992,-87.572619
Oak Street Weather Station,2016-12-31 09:00:00,48,Safe,9,31,12,2016,41.901997,-87.622817
63rd Street Weather Station,2016-12-31 07:00:00,4,Safe,7,31,12,2016,41.780992,-87.572619
