station_name,measurement_timestamp,air_temperature,wet_bulb_temperature,humidity,rain_intensity,interval_rain,total_rain,precipitation_type,wind_direction,wind_speed,maximum_wind_speed,barometric_pressure,solar_radiation,heading,battery_life,measurement_timestamp_label,measurement_id
Oak Street Weather Station,2015-12-30T20:00:00.000,-1.1,-2.5,73,0,0,6.3,0,272,1.7,5.9,1000.9,3,0,12.1,12/30/2015 8:00 PM,OakStreetWeatherStation201512302000
63rd Street Weather Station,2015-12-30T19:00:00.000,-1.6,-2.8,77,0,0,6.7,0,270,4.4,6.3,1000.6,5,353,11.9,12/30/2015 7:00 PM,63rdStreetWeatherStation201512301900
Foster Weather Station,2015-12-30T19:00:00.000,-2.17,,70,,0,,,245,2,2.3,1000,0,,14.8,12/30/2015 7:00 PM,FosterWeatherStation201512301900
Oak Street Weather Station,2015-12-30T19:00:00.000,-1.2,-2.6,74,0,0,6.3,0,356,1.8,4,1000.9,3,0,12.1,12/30/2015 7:00 PM,OakStreetWeatherStation201512301900
63rd Street Weather Station,2015-12-30T18:00:00.000,-1.5,-2.7,79,0,0,6.7,0,267,4.2,5.6,1000.1,5,353,11.9,12/30/2015 6:00 PM,63rdStreetWeatherStation201512301800
Foster Weather Station,2015-12-30T18:00:00.000,-2.17,,69,,0,,,285,2.5,2.8,999.7,0,,15.2,12/30/2015 6:00 PM,FosterWeatherStation201512301800
Oak Street Weather Station,2015-12-30T18:00:00.000,-1,-2.3,75,0,0,6.3,0,336,1,3,1000.3,3,0,12.1,12/30/2015 6:00 PM,OakStreetWeatherStation201512301800
63rd Street Weather Station,2015-12-30T17:00:00.000,-1.3,-2.5,78,0,0,6.7,0,272,4.1,6.4,999.5,5,353,11.9,12/30/2015 5:00 PM,63rdStreetWeatherStation201512301700
Foster Weather Station,2015-12-30T17:00:00.000,-1.89,,70,,0,,,241,1.7,2.3,999,0,,15.2,12/30/2015 5:00 PM,FosterWeatherStation201512301700
Oak Street Weather Station,2015-12-30T17:00:00.000,-0.7,-2.2,73,0,0,6.3,0,281,2.8,6,999.7,4,0,12,12/30/2015 5:00 PM,OakStreetWeatherStation201512301700
63rd Street Weather Station,2015-12-30T16:00:00.000,-1.2,-2.5,75,0,0,6.7,0,270,6,8.7,998.9,13,354,11.9,12/30/2015 4:00 PM,63rdStreetWeatherStation201512301600
Foster Weather Station,2015-12-30T16:00:00.000,-1.67,,68,,0,,,274,4.8,5.1,998.3,10,,15.2,12/30/2015 4:00 PM,FosterWeatherStation201512301600
Oak Street Weather Station,2015-12-30T16:00:00.000,-0.6,-2.1,72,0,0,6.3,0,300,2.3,4.2,999.2,10,0,12,12/30/2015 4:00 PM,OakStreetWeatherStation201512301600
63rd Street Weather Station,2015-12-30T15:00:00.000,-0.8,-2.2,74,0,0,6.7,0,262,3.9,6,998.4,62,354,11.9,12/30/2015 3:00 PM,63rdStreetWeatherStation201512301500
Foster Weather Station,2015-12-30T15:00:00.000,-1.5,,67,,0,,,302,3,3.6,998,38,,15.2,12/30/2015 3:00 PM,FosterWeatherStation201512301500
Oak Street Weather Station,2015-12-30T15:00:00.000,-0.4,-2.1,70,0,0,6.3,0,16,0.8,2.2,998.7,28,0,12,12/30/2015 3:00 PM,OakStreetWeatherStation201512301500
63rd Street Weather Station,2015-12-30T14:00:00.000,-0.6,-2.1,74,0,0,6.7,0,270,5.5,7.1,998.1,84,353,11.9,12/30/2015 2:00 PM,63rdStreetWeatherStation201512301400
Foster Weather Station,2015-12-30T14:00:00.000,-1.17,,66,,0,,,278,1.4,2.1,997.6,80,,15.2,12/30/2015 2:00 PM,FosterWeatherStation201512301400
63rd Street Weather Station,2015-12-30T13:00:00.000,-0.9,-2.1,77,0,0,6.7,0,266,3.7,5.8,998,121,354,11.9,12/30/2015 1:00 PM,63rdStreetWeatherStation201512301300
63rd Street Weather Station,2015-12-30T12:00:00.000,-0.6,-1.9,76,0,0,6.7,0,266,4,5.9,998.1,220,353,11.9,12/30/2015 12:00 PM,63rdStreetWeatherStation201512301200
Foster Weather Station,2015-12-30T12:00:00.000,-1,,68,,0,,,263,1.8,2.2,997.6,128,,15.2,12/30/2015 12:00 PM,FosterWeatherStation201512301200
63rd Street Weather Station,2015-12-30T11:00:00.000,-0.9,-1.8,84,0,0,6.7,0,275,3.4,6.3,999.1,122,353,11.9,12/30/2015 11:00 AM,63rdStreetWeatherStation201512301100
Foster Weather Station,2015-12-30T11:00:00.000,-1.39,,72,,0,,,220,2.9,3.9,998.6,113,,15.2,12/30/2015 11:00 AM,FosterWeatherStation201512301100
Oak Street Weather Station,2015-12-30T11:00:00.000,-0.5,-1.7,78,0,0,6.3,0,252,2.1,4,999.5,73,359,12.1,12/30/2015 11:00 AM,OakStreetWeatherStation201512301100
63rd Street Weather Station,2015-12-30T10:00:00.000,-1.3,-2,88,0,0.9,6.7,0,266,3.8,6.1,999.4,184,353,11.9,12/30/2015 10:00 AM,63rdStreetWeatherStation201512301000
Foster Weather Station,2015-12-30T10:00:00.000,-1.67,,78,,0,,,221,1.9,2.1,999,114,,14.8,12/30/2015 10:00 AM,FosterWeatherStation201512301000
Oak Street Weather Station,2015-12-30T10:00:00.000,-1,-1.7,86,0,0.6,6.3,60,276,1.1,3.4,999.9,70,0,12,12/30/2015 10:00 AM,OakStreetWeatherStation201512301000
63rd Street Weather Station,2015-12-30T09:00:00.000,-1.6,-2.1,91,1.2,1.5,5.7,60,279,3.4,4.8,999.8,46,353,11.9,12/30/2015 9:00 AM,63rdStreetWeatherStation201512300900
Foster Weather Station,2015-12-30T09:00:00.000,-2.17,,84,,0,,,240,2.1,2.1,999.3,67,,14.8,12/30/2015 9:00 AM,FosterWeatherStation201512300900
Oak Street Weather Station,2015-12-30T09:00:00.000,-1.3,-1.9,89,1.8,1.1,5.7,60,277,0.9,2.1,1000.1,24,0,12.1,12/30/2015 9:00 AM,OakStreetWeatherStation201512300900
63rd Street Weather Station,2015-12-30T08:00:00.000,-1.2,-1.9,87,0.6,0.3,4.3,60,285,1.8,2.8,999.1,13,353,11.8,12/30/2015 8:00 AM,63rdStreetWeatherStation201512300800
Foster Weather Station,2015-12-30T08:00:00.000,-2,,82,,0,,,237,0.8,1.3,999,7,,14.8,12/30/2015 8:00 AM,FosterWeatherStation201512300800
Oak Street Weather Station,2015-12-30T08:00:00.000,-1.3,-1.9,89,1.8,0.9,4.6,60,339,0.7,1.5,999.8,8,0,12.1,12/30/2015 8:00 AM,OakStreetWeatherStation201512300800
63rd Street Weather Station,2015-12-30T07:00:00.000,-0.8,-1.8,82,0,0,4,60,239,3.2,4.6,999.3,5,353,11.9,12/30/2015 7:00 AM,63rdStreetWeatherStation201512300700
Foster Weather Station,2015-12-30T07:00:00.000,-1.39,,73,,0,,,249,2.1,2.2,999,0,,14.8,12/30/2015 7:00 AM,FosterWeatherStation201512300700
Oak Street Weather Station,2015-12-30T07:00:00.000,-0.3,-1.5,79,0,0,3.7,60,347,2.1,2.7,999.6,3,0,12.1,12/30/2015 7:00 AM,OakStreetWeatherStation201512300700
63rd Street Weather Station,2015-12-30T06:00:00.000,-0.9,-1.9,81,0,0,3.9,0,246,1.9,3.2,998.8,5,354,11.9,12/30/2015 6:00 AM,63rdStreetWeatherStation201512300600
Foster Weather Station,2015-12-30T06:00:00.000,-1.5,,75,,0,,,254,1.5,1.9,998,0,,14.8,12/30/2015 6:00 AM,FosterWeatherStation201512300600
63rd Street Weather Station,2015-12-30T05:00:00.000,-1,-2,81,0,0,3.9,0,279,1.4,2.3,998.8,5,353,11.9,12/30/2015 5:00 AM,63rdStreetWeatherStation201512300500
Foster Weather Station,2015-12-30T05:00:00.000,-1.06,,74,,0,,,210,2,2.5,998.3,0,,15.2,12/30/2015 5:00 AM,FosterWeatherStation201512300500
63rd Street Weather Station,2015-12-30T04:00:00.000,-1,-2.1,80,0,0,3.9,0,267,2,3,999.1,5,354,11.9,12/30/2015 4:00 AM,63rdStreetWeatherStation201512300400
Foster Weather Station,2015-12-30T04:00:00.000,-1.06,,74,,0,,,217,0.7,0.8,998.6,0,,15.2,12/30/2015 4:00 AM,FosterWeatherStation201512300400
63rd Street Weather Station,2015-12-30T03:00:00.000,-0.8,-1.9,80,0,0,3.9,0,255,2.7,5,999.5,5,353,11.9,12/30/2015 3:00 AM,63rdStreetWeatherStation201512300300
Foster Weather Station,2015-12-30T03:00:00.000,-0.89,,73,,0,,,202,2.1,2.3,999,0,,15.2,12/30/2015 3:00 AM,FosterWeatherStation201512300300
Oak Street Weather Station,2015-12-30T03:00:00.000,0,-1.3,77,0,0,3.6,0,296,1.1,2,999.8,3,0,12,12/30/2015 3:00 AM,OakStreetWeatherStation201512300300
63rd Street Weather Station,2015-12-30T02:00:00.000,-0.6,-1.7,81,0,0,3.9,0,230,1.7,3,999.4,5,354,11.9,12/30/2015 2:00 AM,63rdStreetWeatherStation201512300200
Foster Weather Station,2015-12-30T02:00:00.000,-1.06,,73,,0,,,259,1.7,2,999,0,,15.2,12/30/2015 2:00 AM,FosterWeatherStation201512300200
63rd Street Weather Station,2015-12-30T01:00:00.000,-0.5,-1.6,80,0,0,3.9,0,253,1.3,2.1,999,5,352,11.9,12/30/2015 1:00 AM,63rdStreetWeatherStation201512300100
Foster Weather Station,2015-12-30T01:00:00.000,-1,,73,,0,,,226,2.3,2.6,998.3,0,,15.2,12/30/2015 1:00 AM,FosterWeatherStation201512300100
63rd Street Weather Station,2015-12-30T00:00:00.000,-0.4,-1.4,81,0,0,3.9,0,260,1.5,2.3,998.7,5,353,11.9,12/30/2015 12:00 AM,63rdStreetWeatherStation201512302400
Foster Weather Station,2015-12-30T00:00:00.000,-1.06,,72,,0,,,279,2.4,2.8,998.3,0,,15.2,12/30/2015 12:00 AM,FosterWeatherStation201512302400
Oak Street Weather Station,2015-12-30T00:00:00.000,0.2,-1.1,78,0,0,3.6,0,332,1.3,2.3,999,3,0,12.1,12/30/2015 12:00 AM,OakStreetWeatherStation201512302400
63rd Street Weather Station,2015-12-29T23:00:00.000,-0.2,-1.3,81,0,0,3.9,0,256,2.4,3,999,5,354,11.9,12/29/2015 11:00 PM,63rdStreetWeatherStation201512292300
Foster Weather Station,2015-12-29T23:00:00.000,-0.67,,71,,0,,,236,2.6,2.8,998.6,0,,14.8,12/29/2015 11:00 PM,FosterWeatherStation201512292300
Oak Street Weather Station,2015-12-29T23:00:00.000,0.1,-1.2,78,0,0,3.6,0,353,1.8,3.8,999.3,3,359,12.1,12/29/2015 11:00 PM,OakStreetWeatherStation201512292300
63rd Street Weather Station,2015-12-29T22:00:00.000,-0.1,-1.1,82,0,0,3.9,0,273,2.2,3.6,998.3,5,354,11.9,12/29/2015 10:00 PM,63rdStreetWeatherStation201512292200
Foster Weather Station,2015-12-29T22:00:00.000,-0.67,,71,,0,,,262,1.9,2.3,998.3,0,,15.2,12/29/2015 10:00 PM,FosterWeatherStation201512292200
63rd Street Weather Station,2015-12-29T21:00:00.000,0.1,-1,82,0,0,3.9,0,277,2.7,4.4,998.4,4,353,11.9,12/29/2015 9:00 PM,63rdStreetWeatherStation201512292100
Foster Weather Station,2015-12-29T21:00:00.000,-0.5,,71,,0,,,258,3.6,3.8,998,0,,14.8,12/29/2015 9:00 PM,FosterWeatherStation201512292100
Oak Street Weather Station,2015-12-29T21:00:00.000,0.5,-0.9,76,0,0,3.6,0,304,2.2,3.9,998.6,3,0,12.1,12/29/2015 9:00 PM,OakStreetWeatherStation201512292100
63rd Street Weather Station,2015-12-29T20:00:00.000,0.3,-0.8,81,0,0,3.9,0,266,4.9,6.8,998,4,353,11.9,12/29/2015 8:00 PM,63rdStreetWeatherStation201512292000
Foster Weather Station,2015-12-29T20:00:00.000,-0.5,,70,,0,,,286,2.5,2.6,997.6,0,,15.2,12/29/2015 8:00 PM,FosterWeatherStation201512292000
Oak Street Weather Station,2015-12-29T20:00:00.000,0.8,-0.7,76,0,0,3.6,0,292,1.9,3.3,998.3,3,0,12,12/29/2015 8:00 PM,OakStreetWeatherStation201512292000
63rd Street Weather Station,2015-12-29T19:00:00.000,0.4,-0.7,80,0,0,3.9,0,273,3.1,4.8,997.7,4,354,11.9,12/29/2015 7:00 PM,63rdStreetWeatherStation201512291900
